0,1,2
"tensor(18.5163, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.3430, device='cuda:0', grad_fn=<SelectBackward>)","tensor(191.1033, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(20.3665, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.6494, device='cuda:0', grad_fn=<SelectBackward>)","tensor(251.6178, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(19.8140, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.5346, device='cuda:0', grad_fn=<SelectBackward>)","tensor(252.6293, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(30.2775, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.3970, device='cuda:0', grad_fn=<SelectBackward>)","tensor(337.3432, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(21.5909, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.9208, device='cuda:0', grad_fn=<SelectBackward>)","tensor(223.2698, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(25.1063, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.7352, device='cuda:0', grad_fn=<SelectBackward>)","tensor(247.1871, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.1546, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.4783, device='cuda:0', grad_fn=<SelectBackward>)","tensor(237.2650, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(20.2421, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.6973, device='cuda:0', grad_fn=<SelectBackward>)","tensor(221.1232, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(29.3947, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.2616, device='cuda:0', grad_fn=<SelectBackward>)","tensor(327.6762, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(22.2060, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.9408, device='cuda:0', grad_fn=<SelectBackward>)","tensor(271.6558, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.9122, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.7715, device='cuda:0', grad_fn=<SelectBackward>)","tensor(232.6516, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(26.3697, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.7064, device='cuda:0', grad_fn=<SelectBackward>)","tensor(296.8079, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(21.1151, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.7821, device='cuda:0', grad_fn=<SelectBackward>)","tensor(225.3046, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(27.1765, device='cuda:0', grad_fn=<SelectBackward>)","tensor(4.8569, device='cuda:0', grad_fn=<SelectBackward>)","tensor(299.4921, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(27.3723, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.3099, device='cuda:0', grad_fn=<SelectBackward>)","tensor(239.7797, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(19.1092, device='cuda:0', grad_fn=<SelectBackward>)","tensor(3.4125, device='cuda:0', grad_fn=<SelectBackward>)","tensor(241.7055, device='cuda:0', grad_fn=<SelectBackward>)"
