0,1,2
"tensor(29.6136, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.8966, device='cuda:0', grad_fn=<SelectBackward>)","tensor(360.2899, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(26.0983, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.9328, device='cuda:0', grad_fn=<SelectBackward>)","tensor(286.7658, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(24.7474, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.7081, device='cuda:0', grad_fn=<SelectBackward>)","tensor(326.8430, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(23.6171, device='cuda:0', grad_fn=<SelectBackward>)","tensor(6.8763, device='cuda:0', grad_fn=<SelectBackward>)","tensor(262.3471, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(22.7363, device='cuda:0', grad_fn=<SelectBackward>)","tensor(6.6953, device='cuda:0', grad_fn=<SelectBackward>)","tensor(264.2830, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(26.8472, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.7730, device='cuda:0', grad_fn=<SelectBackward>)","tensor(276.9962, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(25.0790, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.3035, device='cuda:0', grad_fn=<SelectBackward>)","tensor(273.7876, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(29.0417, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.6757, device='cuda:0', grad_fn=<SelectBackward>)","tensor(344.9742, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(15.1179, device='cuda:0', grad_fn=<SelectBackward>)","tensor(5.4569, device='cuda:0', grad_fn=<SelectBackward>)","tensor(230.1550, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(22.1822, device='cuda:0', grad_fn=<SelectBackward>)","tensor(6.5363, device='cuda:0', grad_fn=<SelectBackward>)","tensor(260.1637, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(29.7458, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.6328, device='cuda:0', grad_fn=<SelectBackward>)","tensor(302.9848, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(22.5059, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.1918, device='cuda:0', grad_fn=<SelectBackward>)","tensor(305.8740, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(27.1449, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.8948, device='cuda:0', grad_fn=<SelectBackward>)","tensor(270.8668, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(23.9675, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.2017, device='cuda:0', grad_fn=<SelectBackward>)","tensor(296.0454, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(29.5261, device='cuda:0', grad_fn=<SelectBackward>)","tensor(8.6094, device='cuda:0', grad_fn=<SelectBackward>)","tensor(304.8551, device='cuda:0', grad_fn=<SelectBackward>)"
"tensor(25.7458, device='cuda:0', grad_fn=<SelectBackward>)","tensor(7.9234, device='cuda:0', grad_fn=<SelectBackward>)","tensor(335.6348, device='cuda:0', grad_fn=<SelectBackward>)"
